Fragility_no,Infrastructure_class,Infrastructure_subclass,Metadata_description,Metadata_region,Metadata_author,Hazard_type,IM,IM_unit,Fragility_development_method,Fragility_distribution,No_of_damage_state,Damage_state_1,Damage_state_med_1,Damage_state_std_1,Damage_state_2,Damage_state_med_2,Damage_state_std_2,Damage_state_3,Damage_state_med_3,Damage_state_std_3,Damage_state_4,Damage_state_med_4,Damage_state_std_4,Fragility_description,Fragility_polynomial,Damage_state_5,Damage_state_med_5,Damage_state_std_5,,Ranking_score_IM,Ranking_score_NDS,Ranking_score_Region,Ranking_score_Normalized,Infrastructure_image,Metadata_file_name,Dispersion_type
1,electric power system,substation,Live Tank Circuit Breaker - Seismic; substation Very High Voltage Components (500 kV and Higher),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,0.4,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/Circuit_breaker.PNG,,Logarithmic_standard_deviation
2,electric power system,substation,Live Tank Circuit Breaker - Standard; substation Very High Voltage Components (500 kV and Higher),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,0.3,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/Circuit_breaker.PNG,,Logarithmic_standard_deviation
3,electric power system,substation,transformer - Unanchored; substation Very High Voltage Components (500 kV and Higher),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,0.25,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/transformer.PNG,,Logarithmic_standard_deviation
4,electric power system,substation,transformer - Anchored; substation Very High Voltage Components (500 kV and Higher),USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,0.4,0.7,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/transformer.PNG,,Logarithmic_standard_deviation
5,electric power system,power generation plant,Large Motor Operated Valves; Electric Power Plant Equipment - Mechanical Equipment - Well Anchored,USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,Sa,g,Heuristic,Lognormal,1,Loss of Function,4.83,0.65,,,,,,,,,,None,,,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
6,electric power system,power generation plant,Large Hydraulic and Air Actuated Valves; Electric Power Plant Equipment - Mechanical Equipment - Well Anchored,USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,Sa,g,Heuristic,Lognormal,1,Loss of Function,7.61,0.46,,,,,,,,,,None,,,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
7,electric power system,power generation plant,Large Relief Manual and Check Valves; Electric Power Plant Equipment - Mechanical Equipment - Well Anchored,USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,Sa,g,Heuristic,Lognormal,1,Loss of Function,8.9,0.4,,,,,,,,,,None,,,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
8,electric power system,power generation plant,Cable Trays; Electric Power Plant Equipment - Other Equipment,USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,PGA,g,Heuristic,Lognormal,1,Loss of Function,2.23,0.39,,,,,,,,,,None,,,,,,0.75,0.25,0.5,0.5,./assets/Cable_tray.jpg,,Logarithmic_standard_deviation
9,electric power system,power generation plant,HVAC Ducting- Support system failures ; Electric Power Plant Equipment - Other Equipment,USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,Sa,g,Heuristic,Lognormal,1,Loss of Function,3.97,0.54,,,,,,,,,,None,,,,,,1,0.25,0.5,0.583333333,./assets/HVAC_duct.jpg,,Logarithmic_standard_deviation
10,electric power system,power generation plant,HVAC Equipment-Fans; Electric Power Plant Equipment - Other Equipment,USA,"Steelman, J., Song, J., and Hajjar, J. F. (2007). Integrated Data Flow and Risk Aggregation for Consequence-Based Risk Management of Seismic Regional Loss. Mid-America Earthquake Center, University of Illinois at Urbana-Champaign.",earthquake,Sa,g,Heuristic,Lognormal,1,Loss of Function,2.24,0.34,,,,,,,,,,None,,,,,,1,0.25,0.5,0.583333333,./assets/CLiP_TBA.PNG,,Logarithmic_standard_deviation
